order_lat,order_lon,wh_lat,wh_lon,hour,weekday,item_count,category,weather,traffic_index,distance_km,eta_minutes
13.043489012138991,77.66621851600014,13.035193188657297,77.55413764210573,8,1,14,Personal Care,Rainy,0.791,12.176,75.0
12.959719609938013,77.66337132844241,13.09895161641802,77.57630491131344,6,4,17,Groceries,Cloudy,0.062,18.129,77.3
13.064649479977845,77.510808509325,12.86024432718944,77.74540981488549,0,0,11,Snacks,Rainy,0.263,34.101,90.0
13.02434200726484,77.46099661855047,12.911229858665358,77.47525822707904,2,5,8,Groceries,Heavy Rain,0.259,12.672,75.3
12.873544336971912,77.54113985654212,12.99943518709589,77.48349533812478,4,0,1,Personal Care,Cloudy,0.254,15.329,61.8
13.09390558790919,77.49714089145769,12.953798613331315,77.58061110239423,2,2,12,Beverages,Cloudy,0.378,18.013,81.2
13.040284925497588,77.56873654376471,13.00938905163666,77.50077309640542,22,1,18,Frozen,Clear,0.274,8.125,45.9
13.046516076319238,77.74380383574578,12.996601083284697,77.6554490481924,0,1,3,Personal Care,Rainy,0.257,11.065,55.1
12.882028408168885,77.50432141127156,13.046997366974876,77.55820325969471,9,3,5,Frozen,Cloudy,0.699,19.25,86.5
12.962596484473892,77.54566218302689,12.867725730035186,77.70386223936839,23,1,11,Personal Care,Cloudy,0.303,20.131,83.7
12.942699506058146,77.66753429489587,12.960154017482111,77.67458316478495,2,1,11,Beverages,Clear,0.179,2.086,18.2
13.08169124721215,77.60275483485857,13.06501344742245,77.59124203837959,15,2,9,Beverages,Cloudy,0.399,2.235,20.0
13.010966280020165,77.46317844307202,12.94069047633674,77.7034938174681,6,3,3,Groceries,Cloudy,0.242,27.187,90.0
13.055690403317707,77.4985070054484,12.975947201317561,77.48024565349446,7,4,10,Beverages,Clear,0.29,9.085,45.2
12.960853549706833,77.73057486643197,12.855394656573408,77.62432970137857,10,0,10,Beverages,Cloudy,0.85,16.435,80.1
12.906809680446194,77.48094949782171,12.906043473771074,77.63153989004294,13,1,4,Frozen,Clear,0.591,16.322,70.2
12.988646196753958,77.64052783616292,12.965913780395587,77.52380633414894,18,0,12,Frozen,Cloudy,0.747,12.897,63.9
12.865954314026043,77.68769769465227,12.949742031566085,77.46488639794708,14,5,17,Dairy,Cloudy,0.126,25.884,90.0
13.056907792998144,77.52963171881748,13.028663719227536,77.61055968873903,0,3,2,Snacks,Cloudy,0.271,9.312,41.2
13.007916099780516,77.6675234009416,13.002969995397885,77.60410311486795,4,1,2,Snacks,Cloudy,0.472,6.893,39.9
13.039521935021343,77.50096855370906,13.070070630541125,77.64608352780515,15,3,11,Dairy,Clear,0.277,16.082,68.1
12.938631492032467,77.53542508245013,13.06369267542435,77.51387862227811,6,5,15,Frozen,Cloudy,0.383,14.101,64.4
13.092674506098726,77.54354660926526,12.910304960191578,77.50389300852693,1,5,2,Frozen,Heavy Rain,0.382,20.729,90.0
13.073280280330549,77.74893049716927,12.854409682258467,77.74337476680671,13,6,18,Frozen,Clear,0.23,24.345,90.0
13.04459587426844,77.51437168856539,13.06361769242594,77.48410654858537,7,1,10,Snacks,Rainy,0.489,3.901,32.2
12.89865967696299,77.48876223939008,12.932280216026259,77.74982257580639,20,1,3,Groceries,Clear,0.743,28.54,90.0
12.966680250931757,77.72770743124443,12.93677742731015,77.66599303224572,21,5,9,Personal Care,Clear,0.697,7.469,40.2
12.860950941446808,77.49857920814611,12.889598699549618,77.63879667149308,3,6,9,Dairy,Clear,0.284,15.53,67.0
12.888572373016887,77.71378397588882,13.023251816536808,77.55193504864579,18,1,8,Dairy,Rainy,0.583,23.062,90.0
13.020762238310613,77.64513698829401,12.920027229590199,77.71034093086556,20,4,12,Personal Care,Clear,0.621,13.243,62.6
13.036190538976953,77.62305844942115,12.89418577526556,77.72301848368706,15,4,5,Frozen,Cloudy,0.198,19.148,78.2
13.091877433108552,77.67540161346398,12.975847685265395,77.66656519999815,14,6,19,Snacks,Clear,0.527,12.937,62.5
12.931456339534538,77.66779968714441,13.03760397648036,77.66296657375331,11,1,6,Beverages,Clear,0.404,11.815,55.4
12.942614926508718,77.4831578568255,12.917399649381242,77.59794638985244,11,2,17,Groceries,Heavy Rain,0.199,12.752,82.5
12.967388952818952,77.74983983312201,13.030509750247212,77.47335045960817,1,4,16,Beverages,Clear,0.484,30.768,90.0
12.897367839771071,77.73256691793462,12.965493777417768,77.74970871321338,3,6,8,Groceries,Clear,0.436,7.8,42.6
12.882480376333868,77.71897758885858,12.950943180809775,77.4546666143684,16,5,4,Personal Care,Clear,0.236,29.641,90.0
12.968926231556484,77.63668674018272,12.939880217034043,77.5986192198157,13,3,19,Beverages,Clear,0.353,5.239,36.3
12.906727337262721,77.6068373993997,12.886395241329865,77.56014029380636,4,2,11,Snacks,Cloudy,0.232,5.543,30.7
13.017453498670628,77.61088357516451,12.933158441712306,77.68283970760707,8,1,7,Snacks,Clear,0.803,12.192,60.9
12.959287979718082,77.45448108326848,13.069812882656871,77.67073410914259,15,2,3,Beverages,Cloudy,0.349,26.456,90.0
13.058169549014458,77.59984085058363,12.875541731118014,77.63841491224112,4,6,7,Snacks,Clear,0.258,20.733,82.8
13.025066275500562,77.63713087029798,13.089575003775451,77.47242156278672,5,1,13,Dairy,Rainy,0.176,19.229,90.0
12.92809166034551,77.64761186263249,12.876874131871954,77.5210548343223,21,6,10,Groceries,Clear,0.694,14.852,68.4
13.0580649503488,77.5496418395154,12.940507910574839,77.47824752894942,10,1,2,Dairy,Clear,0.749,15.189,64.8
13.0511910893742,77.59138470508806,13.001576543450136,77.74369290851479,11,0,15,Personal Care,Rainy,0.43,17.398,90.0
12.946869594757544,77.64089318199878,13.059460350902036,77.4883348687366,1,5,7,Groceries,Clear,0.363,20.735,82.8
12.922082025982562,77.57849165308255,12.8858957045185,77.74015781729523,1,3,4,Frozen,Clear,0.393,17.979,70.3
13.020623875993744,77.73864055969506,12.885275556014607,77.48381365173293,15,5,14,Snacks,Rainy,0.225,31.449,90.0
12.884938120902326,77.6616326329556,13.00709453116543,77.70866910323693,7,6,15,Personal Care,Heavy Rain,0.102,14.508,83.1
12.899977050618777,77.45038212387527,12.923186658101194,77.62238905243335,6,1,16,Groceries,Clear,0.131,18.82,78.5
12.851840567437751,77.45698384444468,13.011125524254497,77.69951769758092,4,3,1,Groceries,Rainy,0.271,31.695,90.0
13.046731094375534,77.6570900610405,13.055145800732383,77.6402101874697,18,1,8,Frozen,Rainy,0.623,2.054,25.5
13.016212714148008,77.57379352926365,12.869217627746886,77.68065115013154,22,3,5,Frozen,Heavy Rain,0.288,20.032,90.0
13.026291344656583,77.70184128476367,13.061123530769445,77.66924348013927,6,1,12,Snacks,Rainy,0.373,5.241,35.3
13.045182257755492,77.50190462284588,12.85939633908861,77.52805609306677,5,1,19,Frozen,Clear,0.363,20.852,89.8
12.964728943884584,77.4541480742157,13.074706546322203,77.73051448775111,18,3,3,Personal Care,Heavy Rain,0.465,32.342,90.0
12.992185298988224,77.56642470503411,13.093904535400007,77.6430938312674,12,2,13,Snacks,Clear,0.558,14.032,64.7
12.884949249531914,77.67081923129224,13.016863800615194,77.51062523557259,19,5,9,Personal Care,Clear,0.739,22.727,90.0
